Tools,Iternations_Num,Expected Loss-S,Expected Loss-N,Expected Loss-A
5,1,2353.17549,2540.475355,2603.968133
,2,2914.292124,3115.327069,3221.874801
,3,2812.21679,3124.766442,3034.999867
,4,2832.466986,3146.930783,3091.15874
,5,2539.607918,3149.327048,3276.629777
,6,2304.361534,2218.949173,2320.567272
,7,2763.702873,2938.000786,2991.974934
,8,2774.748413,2878.506947,3214.29652
,9,3343.976772,3355.09634,3525.544486
,10,2375.568848,2620.886814,2652.573063
