Tools,Iternations_Num,Expected Loss-S,Expected Loss-N,Expected Loss-A
12,1,2652.234842,2652.283212,2652.298018
,2,3241.228227,3241.22823,3241.228233
,3,3149.784422,3149.919937,3149.918851
,4,3197.065734,3198.537878,3198.41966
,5,3439.43219,3439.393276,3439.648978
,6,2825.680577,2825.680578,2825.680569
,7,3146.326021,3146.326347,3146.326311
,8,3371.394839,3371.394811,3371.394906
,9,3564.185415,3564.185544,3564.185544
,10,2868.452901,2868.448899,2868.448998
