Tools,Iternations_Num,Expected Loss-S,Expected Loss-N,Expected Loss-A
15,1,2652.309291,2652.309291,2652.309291
,2,3241.228233,3241.228233,3241.228233
,3,3149.919937,3149.919937,3149.919937
,4,3198.699702,3198.699702,3198.699702
,5,3439.648978,3439.648978,3439.648978
,6,2825.680585,2825.680585,2825.680585
,7,3146.326431,3146.326431,3146.326431
,8,3371.394906,3371.394906,3371.394906
,9,3564.185544,3564.185544,3564.185544
,10,2868.452901,2868.452901,2868.452901
